tempo_s,x,y,z
0.03251147270202637,0.0018,0.1526,0.9902
0.08517241477966309,0.0027,0.1517,0.9887
0.13512897491455078,0.0028,0.1515,0.9879
0.1869523525238037,0.0024,0.1523,0.9888
0.2380526065826416,0.0027,0.151,0.988
0.28801941871643066,0.0023,0.1513,0.9877
0.3394734859466553,0.0028,0.1526,0.9884
0.3900299072265625,0.003,0.1509,0.9876
0.4426267147064209,0.003,0.152,0.9869
0.4921238422393799,0.0026,0.1526,0.9874
0.5444173812866211,0.0026,0.1517,0.9886
0.5945382118225098,0.0023,0.152,0.9887
0.6510369777679443,0.0017,0.1522,0.989
0.7003164291381836,0.0025,0.1518,0.9886
0.7490496635437012,0.0023,0.1521,0.9881
0.7994520664215088,0.0027,0.1516,0.9874
0.8512046337127686,0.0019,0.1519,0.9888
0.9028294086456299,0.0032,0.1524,0.9895
0.9526083469390869,0.0028,0.1521,0.9891
1.0044996738433838,0.0032,0.1512,0.989
1.0529389381408691,0.0024,0.1523,0.989
1.1067824363708496,0.0034,0.152,0.9869
1.1607263088226318,0.0026,0.1515,0.9868
1.2058794498443604,0.0021,0.152,0.9886
1.2601888179779053,0.0031,0.1519,0.9882
1.3077914714813232,0.0026,0.152,0.9891
1.3598644733428955,0.0035,0.1518,0.9896
1.4139108657836914,0.0033,0.1531,0.9879
1.4607858657836914,0.002,0.1518,0.9878
1.511951208114624,0.0033,0.1515,0.9878
1.5633699893951416,0.0023,0.1517,0.99
1.6139099597930908,0.0026,0.1512,0.9886
1.6649587154388428,0.0025,0.1518,0.9889
1.7170791625976562,0.0026,0.1521,0.9882
1.7726075649261475,0.0029,0.152,0.9878
1.8198156356811523,0.002,0.1525,0.9884
1.8691775798797607,0.0027,0.152,0.9872
1.920149564743042,0.0024,0.1525,0.9882
1.9746382236480713,0.0033,0.1521,0.9877
2.0218002796173096,0.0026,0.1509,0.9889
2.073957681655884,0.0025,0.1519,0.9888
2.1244142055511475,0.0038,0.1528,0.9886
2.1752097606658936,0.0021,0.152,0.9877
2.225327968597412,0.0021,0.1514,0.9882
2.2778077125549316,0.0033,0.1519,0.9884
2.3293752670288086,0.0031,0.152,0.9891
2.3803467750549316,0.002,0.1523,0.9879
2.429602861404419,0.0029,0.1515,0.9889
2.4804527759552,0.0025,0.1531,0.9889
2.5314407348632812,0.0038,0.1526,0.9895
2.5825917720794678,0.0026,0.1522,0.9879
2.6337356567382812,0.002,0.1522,0.9882
2.685238838195801,0.0037,0.1521,0.9888
2.7355620861053467,0.0019,0.1524,0.988
2.7873690128326416,0.0029,0.1516,0.9879
2.837406635284424,0.003,0.1515,0.9892
2.889392375946045,0.0021,0.1523,0.9886
2.9404687881469727,0.0031,0.152,0.9876
2.9912519454956055,0.003,0.1525,0.9885
3.0424952507019043,0.001,0.1517,0.9892
3.0930423736572266,0.003,0.152,0.9876
3.145756483078003,0.0035,0.1528,0.9883
3.2009832859039307,0.0024,0.1525,0.9885
3.2457656860351562,0.0031,0.1517,0.9882
3.2975125312805176,0.0026,0.1517,0.9882
3.347428798675537,0.0021,0.152,0.9908
3.3996996879577637,0.003,0.1517,0.9877
3.4554286003112793,0.0013,0.1526,0.9875
3.5020432472229004,0.002,0.1514,0.9867
3.551985263824463,0.0033,0.1515,0.9892
3.602632522583008,0.0017,0.1526,0.9879
3.6597812175750732,0.0029,0.1518,0.9899
3.7046029567718506,0.0026,0.1526,0.9892
3.755647897720337,0.0023,0.1526,0.9877
3.807440757751465,0.0026,0.1515,0.9876
3.858231782913208,0.0023,0.1518,0.9881
3.9116833209991455,0.0029,0.1515,0.9889
3.9595935344696045,0.0031,0.1512,0.9875
4.010538578033447,0.0021,0.1521,0.9883
4.061980962753296,0.0025,0.1518,0.9879
4.11352801322937,0.0032,0.1524,0.9901
4.16425347328186,0.0019,0.152,0.9884
4.215524435043335,0.0027,0.1515,0.9884
4.265460968017578,0.0022,0.1525,0.9903
4.317381381988525,0.0024,0.1522,0.9896
4.367720127105713,0.0028,0.1522,0.9894
4.420173645019531,0.0025,0.1514,0.9877
4.469485282897949,0.0026,0.1521,0.9877
4.520913124084473,0.0031,0.1518,0.9879
4.571475267410278,0.0024,0.152,0.9889
4.623308897018433,0.0027,0.1523,0.9896
